"ProductId";"CategoryId";"createdAt";"updatedAt"
48;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
49;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
50;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
51;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
52;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
53;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
55;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
56;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
57;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
58;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
59;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
60;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
61;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
62;9;"2020-04-07 14:18:29";"2020-04-07 14:18:29"
63;9;"2020-04-07 14:18:33";"2020-04-07 14:18:33"
64;9;"2020-04-07 14:18:33";"2020-04-07 14:18:33"
65;9;"2020-04-07 14:18:33";"2020-04-07 14:18:33"
66;9;"2020-04-07 14:18:34";"2020-04-07 14:18:34"
67;9;"2020-04-07 14:18:34";"2020-04-07 14:18:34"
68;9;"2020-04-07 14:18:35";"2020-04-07 14:18:35"
69;9;"2020-04-07 14:18:35";"2020-04-07 14:18:35"
70;9;"2020-04-07 14:18:36";"2020-04-07 14:18:36"
71;9;"2020-04-07 14:18:36";"2020-04-07 14:18:36"
72;9;"2020-04-07 14:18:37";"2020-04-07 14:18:37"
73;9;"2020-04-07 14:18:37";"2020-04-07 14:18:37"
74;9;"2020-04-07 14:18:38";"2020-04-07 14:18:38"
75;9;"2020-04-07 14:18:38";"2020-04-07 14:18:38"
76;9;"2020-04-07 14:19:23";"2020-04-07 14:19:23"
77;9;"2020-04-07 14:19:24";"2020-04-07 14:19:24"
78;9;"2020-04-07 14:19:24";"2020-04-07 14:19:24"
79;9;"2020-04-07 14:19:25";"2020-04-07 14:19:25"
80;9;"2020-04-07 14:19:25";"2020-04-07 14:19:25"
81;9;"2020-04-07 14:19:26";"2020-04-07 14:19:26"
82;9;"2020-04-07 14:19:26";"2020-04-07 14:19:26"
83;9;"2020-04-07 14:19:27";"2020-04-07 14:19:27"
84;9;"2020-04-07 14:19:27";"2020-04-07 14:19:27"
85;9;"2020-04-07 14:19:28";"2020-04-07 14:19:28"
86;9;"2020-04-07 14:19:28";"2020-04-07 14:19:28"
87;9;"2020-04-07 14:19:29";"2020-04-07 14:19:29"
88;9;"2020-04-07 14:19:29";"2020-04-07 14:19:29"
89;9;"2020-04-07 14:19:30";"2020-04-07 14:19:30"
90;9;"2020-04-07 14:19:30";"2020-04-07 14:19:30"
91;9;"2020-04-07 14:19:31";"2020-04-07 14:19:31"
92;9;"2020-04-07 14:19:31";"2020-04-07 14:19:31"
93;9;"2020-04-07 14:19:32";"2020-04-07 14:19:32"
94;9;"2020-04-07 14:19:32";"2020-04-07 14:19:32"
95;9;"2020-04-07 14:19:33";"2020-04-07 14:19:33"
96;9;"2020-04-07 14:19:33";"2020-04-07 14:19:33"
97;9;"2020-04-07 14:19:34";"2020-04-07 14:19:34"
98;9;"2020-04-07 14:19:34";"2020-04-07 14:19:34"
99;9;"2020-04-07 14:19:35";"2020-04-07 14:19:35"
100;9;"2020-04-07 14:19:35";"2020-04-07 14:19:35"
101;9;"2020-04-07 14:19:36";"2020-04-07 14:19:36"
102;9;"2020-04-07 14:19:36";"2020-04-07 14:19:36"
103;9;"2020-04-07 14:19:37";"2020-04-07 14:19:37"
104;9;"2020-04-07 14:19:37";"2020-04-07 14:19:37"
105;9;"2020-04-07 14:19:38";"2020-04-07 14:19:38"
106;9;"2020-04-07 14:19:38";"2020-04-07 14:19:38"
107;9;"2020-04-07 14:19:39";"2020-04-07 14:19:39"
108;9;"2020-04-07 14:19:39";"2020-04-07 14:19:39"
109;9;"2020-04-07 14:19:40";"2020-04-07 14:19:40"
110;9;"2020-04-07 14:19:40";"2020-04-07 14:19:40"
111;9;"2020-04-07 14:19:41";"2020-04-07 14:19:41"
112;9;"2020-04-07 14:19:41";"2020-04-07 14:19:41"
113;9;"2020-04-07 14:19:42";"2020-04-07 14:19:42"
114;9;"2020-04-07 14:19:42";"2020-04-07 14:19:42"
115;9;"2020-04-07 14:19:43";"2020-04-07 14:19:43"
116;9;"2020-04-07 14:19:52";"2020-04-07 14:19:52"
117;9;"2020-04-07 14:19:53";"2020-04-07 14:19:53"
118;7;"2020-04-07 14:30:02";"2020-04-07 14:30:02"
119;7;"2020-04-07 14:30:10";"2020-04-07 14:30:10"
120;7;"2020-04-07 14:30:10";"2020-04-07 14:30:10"
121;7;"2020-04-07 14:30:12";"2020-04-07 14:30:12"
122;7;"2020-04-07 14:30:12";"2020-04-07 14:30:12"
123;7;"2020-04-07 14:30:13";"2020-04-07 14:30:13"
124;7;"2020-04-07 14:30:13";"2020-04-07 14:30:13"
125;7;"2020-04-07 14:30:14";"2020-04-07 14:30:14"
126;7;"2020-04-07 14:30:46";"2020-04-07 14:30:46"
127;2;"2020-04-07 14:36:15";"2020-04-07 14:36:15"
128;2;"2020-04-07 14:36:15";"2020-04-07 14:36:15"
129;2;"2020-04-07 14:36:15";"2020-04-07 14:36:15"
130;2;"2020-04-07 14:36:16";"2020-04-07 14:36:16"
131;2;"2020-04-07 14:36:16";"2020-04-07 14:36:16"
132;2;"2020-04-07 14:36:17";"2020-04-07 14:36:17"
133;2;"2020-04-07 14:36:17";"2020-04-07 14:36:17"
134;2;"2020-04-07 14:36:18";"2020-04-07 14:36:18"
135;2;"2020-04-07 14:36:18";"2020-04-07 14:36:18"
136;6;"2020-04-07 14:38:07";"2020-04-07 14:38:07"
137;6;"2020-04-07 14:38:07";"2020-04-07 14:38:07"
138;6;"2020-04-07 14:38:08";"2020-04-07 14:38:08"
139;6;"2020-04-07 14:38:08";"2020-04-07 14:38:08"
140;6;"2020-04-07 14:38:08";"2020-04-07 14:38:08"
141;6;"2020-04-07 14:38:09";"2020-04-07 14:38:09"
142;6;"2020-04-07 14:38:09";"2020-04-07 14:38:09"
143;6;"2020-04-07 14:38:10";"2020-04-07 14:38:10"
144;6;"2020-04-07 14:38:10";"2020-04-07 14:38:10"
145;3;"2020-04-07 14:39:16";"2020-04-07 14:39:16"
146;3;"2020-04-07 14:39:16";"2020-04-07 14:39:16"
147;3;"2020-04-07 14:39:17";"2020-04-07 14:39:17"
148;3;"2020-04-07 14:39:17";"2020-04-07 14:39:17"
149;3;"2020-04-07 14:39:18";"2020-04-07 14:39:18"
150;3;"2020-04-07 14:39:18";"2020-04-07 14:39:18"
151;3;"2020-04-07 14:39:19";"2020-04-07 14:39:19"
152;3;"2020-04-07 14:39:19";"2020-04-07 14:39:19"
153;3;"2020-04-07 14:39:20";"2020-04-07 14:39:20"
154;5;"2020-04-07 14:40:53";"2020-04-07 14:40:53"
155;5;"2020-04-07 14:40:53";"2020-04-07 14:40:53"
156;5;"2020-04-07 14:40:54";"2020-04-07 14:40:54"
157;5;"2020-04-07 14:40:54";"2020-04-07 14:40:54"
158;5;"2020-04-07 14:40:55";"2020-04-07 14:40:55"
159;5;"2020-04-07 14:40:55";"2020-04-07 14:40:55"
160;5;"2020-04-07 14:40:56";"2020-04-07 14:40:56"
161;5;"2020-04-07 14:40:56";"2020-04-07 14:40:56"
162;5;"2020-04-07 14:40:56";"2020-04-07 14:40:56"
163;8;"2020-04-07 14:43:58";"2020-04-07 14:43:58"
164;8;"2020-04-07 14:43:59";"2020-04-07 14:43:59"
165;8;"2020-04-07 14:43:59";"2020-04-07 14:43:59"
166;8;"2020-04-07 14:44:00";"2020-04-07 14:44:00"
167;8;"2020-04-07 14:44:00";"2020-04-07 14:44:00"
168;8;"2020-04-07 14:44:01";"2020-04-07 14:44:01"
169;8;"2020-04-07 14:44:01";"2020-04-07 14:44:01"
170;8;"2020-04-07 14:44:02";"2020-04-07 14:44:02"
171;8;"2020-04-07 14:44:02";"2020-04-07 14:44:02"
